ticker,name,sector,board
FUTR,Futura Energi Global Tbk.,Barang Konsumen Non-Primer,Development
FWCT,Wijaya Cahaya Timber Tbk.,Barang Baku,Development
GAMA,Aksara Global Development Tbk.,Properti & Real Estat,Watchlist
GDST,Gunawan Dianjaya Steel Tbk.,Barang Baku,Development
GDYR,Goodyear Indonesia Tbk.,Barang Konsumen Non-Primer,Development
GEMA,Gema Grahasarana Tbk.,Barang Konsumen Non-Primer,Development
GEMS,Golden Energy Mines Tbk.,Energi,Main
GGRM,Gudang Garam Tbk.,Barang Konsumen Primer,Main
GGRP,Gunung Raja Paksi Tbk.,Barang Baku,Development
GHON,Gihon Telekomunikasi Indonesia,Infrastruktur,Development
GIAA,Garuda Indonesia (Persero) Tbk,Transportasi & Logistik,Development
GJTL,Gajah Tunggal Tbk.,Barang Konsumen Non-Primer,Main
GLOB,Globe Kita Terang Tbk.,Barang Konsumen Non-Primer,Watchlist
GLVA,Galva Technologies Tbk.,Teknologi,Main
GMFI,Garuda Maintenance Facility Ae,Infrastruktur,Development
GMTD,Gowa Makassar Tourism Developm,Properti & Real Estat,Development
GOLD,Visi Telekomunikasi Infrastruk,Infrastruktur,Development
GOLF,Intra Golflink Resorts Tbk.,Barang Konsumen Non-Primer,Main
GOLL,Golden Plantation Tbk.,Barang Konsumen Primer,Watchlist
GOOD,Garudafood Putra Putri Jaya Tb,Barang Konsumen Primer,Main
GOTO,GoTo Gojek Tokopedia Tbk.,Teknologi,Development
GPRA,Perdana Gapuraprima Tbk.,Properti & Real Estat,Development
GPSO,Geoprima Solusi Tbk.,Perindustrian,Development
GRIA,Ingria Pratama Capitalindo Tbk,Properti & Real Estat,Development
GRPH,Griptha Putra Persada Tbk.,Barang Konsumen Non-Primer,Development
GRPM,Graha Prima Mentari Tbk.,Barang Konsumen Primer,Acceleration
GSMF,Equity Development Investment,Keuangan,Development
GTBO,Garda Tujuh Buana Tbk,Energi,Development
GTRA,Grahaprima Suksesmandiri Tbk.,Transportasi & Logistik,Development
GTSI,GTS Internasional Tbk.,Energi,Development
GULA,Aman Agrindo Tbk.,Barang Konsumen Primer,Development
GUNA,Gunanusa Eramandiri Tbk.,Barang Konsumen Primer,Development
GWSA,Greenwood Sejahtera Tbk.,Barang Konsumen Non-Primer,Development
GZCO,Gozco Plantations Tbk.,Barang Konsumen Primer,Main
HADE,Himalaya Energi Perkasa Tbk.,Infrastruktur,Watchlist
HAIS,Hasnur Internasional Shipping,Transportasi & Logistik,Development
